Alloy_or_not,Pt_or_not,Weight_ratio (wt%),Particle_size (nm),Surface_area (m2/g),N_doped (at%),pH,Current_density (mA/cm2),Overpotential (mV)
0,0,15.98,32.8,108.4,1.64,14.0,60,379.0
1,0,25.15,23.3,2.8,9.88,14.3,80,307.0
0,0,36.69,15.0,128.7,2.69,14.0,100,274.0
1,0,35.39,8.9,100.06,0.0,14.0,40,89.0
1,1,3.9,1.6,1349.0,0.0,0.3,60,108.0
1,1,10.0,15.0,79.01,0.0,14.0,60,150.0
0,1,3.0,0.35,28.0,0.0,0.3,10,69.0
0,1,0.34,1.0,89.4,0.0,0.3,200,201.0
1,0,7.16,10.0,148.29,8.62,13.0,50,364.0
1,1,6.16,7.2,680.0,1.82,14.0,150,386.0
0,1,14.0,2.5,2809.7,37.69,14.0,40,166.0
0,1,7.49,5.0,128.4,3.5,0.3,150,51.5
1,1,27.91,20.0,110.1,15.94,13.0,20,33.8
0,1,7.49,5.0,128.4,3.5,0.3,40,37.6
1,0,2.05,3.5,716.3,0.0,14.0,60,124.0
1,0,22.4,30.0,257.2,2.3,0.3,20,152.0
1,1,6.36,7.3,702.0,1.89,14.0,60,294.0
1,0,5.5,15.0,89.2,3.08,0.3,10,364.0
1,0,15.4,30.0,257.2,1.8,0.3,20,132.0
1,0,37.0,10.0,110.3494,2.24,7.4,10,90.0
0,1,11.24,10.0,96.5,3.4,0.3,40,42.5
1,0,7.31,34.2,292.0,3.4,14.0,20,408.0
0,1,7.2,3.76,2871.0,3.53,14.0,10,41.0
0,1,2.54,0.35,500.0,18.0,0.3,20,34.0
0,1,0.5,0.35,282.0,12.08,0.3,10,66.1
0,1,0.35,1.0,92.85,0.0,0.5,150,211.0
1,0,11.23,28.0,169.47,0.0,14.0,40,167.0
0,1,3.75,5.0,136.6,3.7,7.4,20,93.4
0,1,0.21,4.0,92.85,0.0,0.3,40,195.0
1,0,6.13,11.35,400.29,2.72,14.0,10,270.0
0,1,0.44,0.35,900.0,2.75,14.0,20,16.0
0,1,10.0,3.5,254.0,0.0,0.3,20,49.0
1,0,2.9,10.27,325.61,1.15,14.0,50,540.0
0,0,43.52,4.52,64.3,0.0,0.3,20,135.4
1,0,35.39,8.9,100.06,0.0,14.0,200,296.0
0,1,0.34,1.0,89.4,0.0,0.3,100,112.0
1,0,29.4,21.0,271.0,3.25,14.0,20,276.0
1,0,4.28,10.57,365.16,1.5,14.0,100,410.0
0,0,1.86,10.0,970.0,0.0,0.3,40,153.0
0,0,12.03,12.5,232.2,4.39,14.0,50,372.0
0,1,9.5,5.0,109.75,4.5,7.4,20,58.0
0,0,60.2,4.8,78.9,1.89,14.0,20,163.0
1,1,27.0,1.9,161.0,32.34,13.0,10,61.0
0,1,9.5,5.0,109.75,4.5,14.0,40,145.0
1,0,22.4,30.0,257.2,2.3,14.0,100,336.0
1,0,4.43,3.5,716.3,0.0,14.0,80,91.0
0,1,5.2,1.6,1349.0,0.0,0.3,50,61.0
0,0,16.52,5.9,17.782,0.0,14.0,10,345.0
0,1,7.49,5.0,128.4,3.5,7.4,40,52.0
1,1,4.42,2.57,630.3,0.0,0.3,60,35.2
1,0,31.48,29.6,8.7,4.34,14.5,100,391.0
0,1,3.8,2.0,500.0,18.0,0.3,50,71.0
1,0,23.58,13.8,8.8,10.93,14.0,60,292.0
0,1,2.54,0.35,500.0,18.0,0.3,40,40.0
0,1,3.75,5.0,136.6,3.7,0.3,10,29.0
1,0,2.05,3.5,716.3,0.0,0.3,10,93.0
1,0,100.0,5.0,4.3,0.0,14.0,20,42.0
0,1,9.5,5.0,109.75,4.5,0.3,100,99.8
1,0,35.39,8.9,100.06,0.0,0.3,200,155.0
